,annual_income,education_level,occupation,no_of_children,fav_genre,weekly_avg_viewing_hours,peak_viewing_time,education_score,normalized_income,norm_viewing_hours,ad_score
0,105000.0,High School,Health service manager,1,Sports,22.8,Daytime,1,0.5238095238095238,0.5818181818181819,47.0
1,99000.0,PhD,Tour manager,2,Drama,22.4,Overnight,4,0.4523809523809524,0.5714285714285714,95.0
2,106000.0,Master,"Editor, magazine features",0,Politics,16.7,Overnight,3,0.5357142857142857,0.4233766233766234,70.0
3,115000.0,Master,Chartered management accountant,0,Sports,24.2,Overnight,3,0.6428571428571429,0.6181818181818182,77.0
4,98000.0,Bachelor,Wellsite geologist,1,Comedy,23.2,Daytime,2,0.44047619047619047,0.5922077922077922,60.0
5,98000.0,High School,Science writer,0,Documentary,26.5,Overnight,1,0.44047619047619047,0.6779220779220779,42.0
6,116000.0,High School,Curator,1,Sports,22.7,Overnight,1,0.6547619047619048,0.5792207792207792,51.0
7,108000.0,Master,Museum/gallery exhibitions officer,1,Comedy,20.2,Afternoon,3,0.5595238095238095,0.5142857142857143,77.0
8,95000.0,High School,Arboriculturist,1,Reality,25.0,Prime Time,1,0.40476190476190477,0.638961038961039,45.0
9,105000.0,High School,Hydrographic surveyor,2,News,21.3,Afternoon,1,0.5238095238095238,0.5428571428571429,52.0
10,95000.0,Bachelor,Clinical research associate,1,News,23.5,Prime Time,2,0.40476190476190477,0.6000000000000001,59.0
11,95000.0,Bachelor,Office manager,0,Politics,12.6,Prime Time,2,0.40476190476190477,0.3168831168831169,48.0
12,102000.0,Bachelor,Video editor,2,Documentary,22.9,Daytime,2,0.4880952380952381,0.5844155844155844,66.0
13,81000.0,Bachelor,Public house manager,1,Sci-Fi,19.6,Prime Time,2,0.23809523809523808,0.49870129870129876,52.0
14,83000.0,Bachelor,English as a foreign language teacher,1,Politics,23.6,Daytime,2,0.2619047619047619,0.6025974025974027,55.00000000000001
15,94000.0,Master,Chiropodist,0,Documentary,20.7,Overnight,3,0.39285714285714285,0.5272727272727273,67.0
16,90000.0,High School,"Teacher, special educational needs",0,News,20.8,Afternoon,1,0.34523809523809523,0.5298701298701299,36.0
17,103000.0,High School,Regulatory affairs officer,1,News,19.4,Overnight,1,0.5,0.4935064935064935,45.0
18,91000.0,Bachelor,General practice doctor,0,Sports,12.6,Daytime,2,0.35714285714285715,0.3168831168831169,47.0
19,86000.0,PhD,Corporate investment banker,0,Politics,21.0,Overnight,4,0.2976190476190476,0.5350649350649351,80.0
20,115000.0,High School,Broadcast engineer,0,Documentary,21.9,Prime Time,1,0.6428571428571429,0.5584415584415584,45.0
21,98000.0,High School,Airline pilot,2,News,19.6,Afternoon,1,0.44047619047619047,0.49870129870129876,48.0
22,101000.0,Bachelor,Operational researcher,2,Politics,23.1,Prime Time,2,0.47619047619047616,0.5896103896103897,66.0
23,86000.0,Bachelor,Health and safety adviser,0,Reality,18.5,Afternoon,2,0.2976190476190476,0.4701298701298702,48.0
24,95000.0,PhD,Recruitment consultant,1,Sci-Fi,15.5,Daytime,4,0.40476190476190477,0.39220779220779217,85.0
25,101000.0,Master,Records manager,1,Sports,18.7,Daytime,3,0.47619047619047616,0.4753246753246753,74.0
26,88000.0,Bachelor,Waste management officer,1,Comedy,24.7,Daytime,2,0.32142857142857145,0.6311688311688312,56.99999999999999
